SECTION,Ag,Ix,rx,Iy,ry,Height,Width,b/t,h/t,t,Zx,Sx,J,C,Zy,Sy
HSS4-1/2X4-1/2X1/2,6.95,18.1,1.61,18.1,1.61,4.5,4.5,6.67,6.67,0.465,10.2,8.03,31.3,14.8,10.2,8.03
HSS4-1/2X4-1/2X3/8,5.48,15.3,1.67,15.3,1.67,4.5,4.5,9.89,9.89,0.349,8.36,6.79,25.7,11.9,8.36,6.79
HSS4-1/2X4-1/2X5/16,4.68,13.5,1.7,13.5,1.7,4.5,4.5,12.5,12.5,0.291,7.27,6,22.3,10.2,7.27,6
HSS4-1/2X4-1/2X1/4,3.84,11.4,1.73,11.4,1.73,4.5,4.5,16.3,16.3,0.233,6.06,5.08,18.5,8.44,6.06,5.08
HSS4-1/2X4-1/2X3/16,2.93,9.02,1.75,9.02,1.75,4.5,4.5,22.9,22.9,0.174,4.71,4.01,14.4,6.49,4.71,4.01
HSS4-1/2X4-1/2X1/8,2,6.35,1.78,6.35,1.78,4.5,4.5,35.8,35.8,0.116,3.27,2.82,9.92,4.45,3.27,2.82
HSS4X4X1/2,6.02,11.9,1.41,11.9,1.41,4,4,5.59,5.59,0.465,7.7,5.97,21,11.2,7.7,5.97
HSS4X4X3/8,4.78,10.3,1.47,10.3,1.47,4,4,8.45,8.45,0.349,6.39,5.13,17.5,9.14,6.39,5.13
HSS4X4X5/16,4.1,9.14,1.49,9.14,1.49,4,4,10.8,10.8,0.291,5.59,4.57,15.3,7.91,5.59,4.57
HSS4X4X1/4,3.37,7.8,1.52,7.8,1.52,4,4,14.2,14.2,0.233,4.69,3.9,12.8,6.56,4.69,3.9
HSS4X4X3/16,2.58,6.21,1.55,6.21,1.55,4,4,20,20,0.174,3.67,3.1,10,5.07,3.67,3.1
HSS4X4X1/8,1.77,4.4,1.58,4.4,1.58,4,4,31.5,31.5,0.116,2.56,2.2,6.91,3.49,2.56,2.2
HSS4X3X3/8,4.09,7.93,1.39,5.01,1.11,4,3,5.59,8.45,0.349,5.12,3.97,10.6,6.59,4.18,3.34
HSS4X3X5/16,3.52,7.14,1.42,4.52,1.13,4,3,7.32,10.8,0.291,4.51,3.57,9.41,5.75,3.69,3.02
HSS4X3X1/4,2.91,6.15,1.45,3.91,1.16,4,3,9.87,14.2,0.233,3.81,3.07,7.96,4.81,3.12,2.61
HSS4X3X3/16,2.24,4.93,1.49,3.16,1.19,4,3,14.3,20,0.174,3,2.47,6.26,3.74,2.46,2.1
HSS4X3X1/8,1.54,3.52,1.52,2.27,1.21,4,3,22.8,31.5,0.116,2.11,1.76,4.38,2.59,1.73,1.51
HSS4X2-1/2X3/8,3.74,6.77,1.35,3.17,0.922,4,2.5,4.15,8.45,0.349,4.48,3.38,7.57,5.32,3.2,2.54
HSS4X2-1/2X5/16,3.23,6.13,1.38,2.89,0.947,4,2.5,5.6,10.8,0.291,3.97,3.07,6.77,4.67,2.85,2.32
HSS4X2-1/2X1/4,2.67,5.32,1.41,2.53,0.973,4,2.5,7.73,14.2,0.233,3.38,2.66,5.78,3.93,2.43,2.02
HSS4X2-1/2X3/16,2.06,4.3,1.44,2.06,0.999,4,2.5,11.4,20,0.174,2.67,2.15,4.59,3.08,1.93,1.65
HSS4X2-1/2X1/8,1.42,3.09,1.47,1.49,1.03,4,2.5,18.5,31.5,0.116,1.88,1.54,3.23,2.14,1.36,1.19
HSS4X2X3/8,3.39,5.6,1.29,1.8,0.729,4,2,2.73,8.45,0.349,3.84,2.8,4.83,4.04,2.31,1.8
HSS4X2X5/16,2.94,5.13,1.32,1.67,0.754,4,2,3.88,10.8,0.291,3.43,2.56,4.4,3.59,2.08,1.67
HSS4X2X1/4,2.44,4.49,1.36,1.48,0.779,4,2,5.58,14.2,0.233,2.94,2.25,3.82,3.05,1.79,1.48
HSS4X2X3/16,1.89,3.66,1.39,1.22,0.804,4,2,8.51,20,0.174,2.34,1.83,3.08,2.41,1.43,1.22
HSS4X2X1/8,1.3,2.65,1.43,0.898,0.83,4,2,14.2,31.5,0.116,1.66,1.32,2.2,1.69,1.02,0.898
HSS3-1/2X3-1/2X3/8,4.09,6.49,1.26,6.49,1.26,3.5,3.5,7.02,7.02,0.349,4.69,3.71,11.2,6.77,4.69,3.71
HSS3-1/2X3-1/2X5/16,3.52,5.84,1.29,5.84,1.29,3.5,3.5,9.04,9.04,0.291,4.14,3.34,9.89,5.9,4.14,3.34
HSS3-1/2X3-1/2X1/4,2.91,5.04,1.32,5.04,1.32,3.5,3.5,12,12,0.233,3.5,2.88,8.35,4.92,3.5,2.88
HSS3-1/2X3-1/2X3/16,2.24,4.05,1.35,4.05,1.35,3.5,3.5,17.1,17.1,0.174,2.76,2.31,6.56,3.83,2.76,2.31
HSS3-1/2X3-1/2X1/8,1.54,2.9,1.37,2.9,1.37,3.5,3.5,27.2,27.2,0.116,1.93,1.66,4.58,2.65,1.93,1.66
HSS3-1/2X2-1/2X3/8,3.39,4.75,1.18,2.77,0.904,3.5,2.5,4.15,7.02,0.349,3.59,2.72,6.16,4.57,2.822567499,2.212525423
HSS3-1/2X2-1/2X5/16,2.94,4.34,1.22,2.54,0.93,3.5,2.5,5.6,9.04,0.291,3.2,2.48,5.53,4.03,2.524451696,2.029668928
HSS3-1/2X2-1/2X1/4,2.44,3.79,1.25,2.23,0.956,3.5,2.5,7.73,12,0.233,2.74,2.17,4.75,3.4,2.162078851,1.7833705
HSS3-1/2X2-1/2X3/16,1.89,3.09,1.28,1.82,0.983,3.5,2.5,11.4,17.1,0.174,2.18,1.76,3.78,2.67,1.724529321,1.459914724
HSS3-1/2X2-1/2X1/8,1.3,2.23,1.31,1.33,1.01,3.5,2.5,18.5,27.2,0.116,1.54,1.28,2.67,1.87,1.223685684,1.062484355
HSS3-1/2X2X1/4,2.21,3.17,1.2,1.3,0.766,3.5,2,5.58,12,0.233,2.36,1.81,3.16,2.64,1.58,1.3
HSS3-1/2X2X3/16,1.71,2.61,1.23,1.08,0.792,3.5,2,8.51,17.1,0.174,1.89,1.49,2.55,2.09,1.27,1.08
HSS3-1/2X2X1/8,1.19,1.9,1.27,0.795,0.818,3.5,2,14.2,27.2,0.116,1.34,1.09,1.83,1.47,0.912,0.795
HSS3-1/2X1-1/2X1/4,1.97,2.55,1.14,0.638,0.569,3.5,1.5,3.44,12,0.233,1.98,1.46,1.79,1.88,1.06,0.851
HSS3-1/2X1-1/2X3/16,1.54,2.12,1.17,0.544,0.594,3.5,1.5,5.62,17.1,0.174,1.6,1.21,1.49,1.51,0.867,0.725
HSS3-1/2X1-1/2X1/8,1.07,1.57,1.21,0.411,0.619,3.5,1.5,9.91,27.2,0.116,1.15,0.896,1.09,1.08,0.63,0.548
HSS3X3X3/8,3.39,3.78,1.06,3.78,1.06,3,3,5.59,5.59,0.349,3.25,2.52,6.64,4.74,3.25,2.52
HSS3X3X5/16,2.94,3.45,1.08,3.45,1.08,3,3,7.32,7.32,0.291,2.9,2.3,5.94,4.18,2.9,2.3
HSS3X3X1/4,2.44,3.02,1.11,3.02,1.11,3,3,9.87,9.87,0.233,2.48,2.01,5.08,3.52,2.48,2.01
HSS3X3X3/16,1.89,2.46,1.14,2.46,1.14,3,3,14.3,14.3,0.174,1.97,1.64,4.03,2.76,1.97,1.64
HSS3X3X1/8,1.3,1.78,1.17,1.78,1.17,3,3,22.8,22.8,0.116,1.4,1.19,2.84,1.92,1.4,1.19
